"","a","b","g","u"
"V1",0.897701130510519,1.49013791205604,0.225847127858235,1
"V2",1.5126864222787,-0.173868439585174,0.234150209436266,1
"V3",0.72794500995254,-0.645016016569254,0.00562230058475154,1
"V4",1.46433600606605,0.203527454405896,0.187692980320892,1
"V5",0.164816090411879,1.71194040479448,0.0224742623940978,1
"V6",1.24887285532503,1.5414788969725,0.127934718981904,1
"V7",1.28989848205972,-2.57729956689479,0.0150888445389981,1
"V8",2.01576391594212,1.4805532714636,0.276753841052634,1
"V9",1.74729530035232,1.24482993387763,0.173493644859713,1
"V10",1.18975360586942,-0.359019213287156,0.113610937110485,1
"V11",1.3354310712164,-0.863389245788413,0.0430715755063024,1
"V12",0.756839415420003,-1.75951848006249,0.00754834938624151,1
"V13",1.15441481009209,-0.0852055062002064,0.0540953131788754,1
"V14",1.37396037275301,2.21795322069964,0.13959048869811,1
"V15",1.6987049333236,-0.994682530027097,0.0160405211247579,1
"V16",0.583237914991664,1.19637801918782,0.00482657162250725,1
"V17",0.898779185678998,-1.54127746549406,0.00390334520880868,1
"V18",1.48626370888315,0.884205611795831,0.191751301436262,1
"V19",1.79197213295905,-0.159301443761691,0.170996421371032,1
"V20",1.87644661586468,1.19075581176444,0.132426804271313,1
"V21",0.825903727476583,-0.0724508637823763,0.0174042096455248,1
"V22",1.82928952170092,1.62722708637247,0.14388680596627,1
"V23",0.702838143379617,-0.665932901455843,0.0033772140144534,1
"V24",1.0585815016667,-0.377328900474138,0.00271345468001816,1
"V25",1.18896787972687,0.411144936531496,0.267022840895385,1
"V26",1.20753880455451,1.89986850653115,0.418110431059732,1
"V27",1.77271397805184,0.667818938095806,0.221007849863147,1
"V28",1.88730870239846,0.581078744259387,0.157937752855484,1
"V29",1.348733029444,0.928882580137668,0.202138896698315,1
"V30",1.92677567278353,1.12753276518426,0.239874199108916,1
"V31",1.69244930621915,1.52220581549959,0.135357305977756,1
"V32",1.17176327260017,0.276299105801287,0.118883730739844,1
"V33",0.973831437120544,0.833844302526305,0.120365785785831,1
"V34",0.871864712498265,1.22535565731631,0.164016448350696,1
"V35",0.878394795500094,0.300523823588182,0.00640218275289584,1
"V36",0.945605804594743,-0.276448543666324,0.0208896461741451,1
"V37",1.01412506853423,0.0054466543107287,0.04749144200084,1
"V38",2.05686495830493,1.92511871371138,0.10849910928013,1
"V39",1.28036618700829,1.86774845729072,0.169625705912286,1
"V40",2.24732460966723,2.02284375426408,0.148768770578127,1
"V41",1.93772948535336,1.26564622946728,0.152380629943297,1
"V42",2.11294167112004,1.29042892874369,0.181621545253244,1
"V43",1.25865412385533,1.2018860055774,0.161958640235171,1
"V44",2.15033185586544,2.16528718946219,0.203172052245922,1
