"","a","b","g","u"
"V1",3.7349392288094,2.11729325731112,0.11843149760935,1
"V2",2.49317704984514,1.26350247001365,0.144749898308053,1
"V3",2.35921968260388,2.31415810181287,0.0758285292159828,1
"V4",2.523525933836,2.27080157635162,0.246111157100074,1
"V5",2.85567259849647,1.95109493981094,0.19315213805967,1
"V6",1.73533168231905,0.852824377660674,0.175428971974372,1
"V7",1.414645089197,1.37603245228358,0.181761363848049,1
"V8",1.87215814156894,2.66696720072376,0.15694193955844,1
"V9",3.16636641195982,2.58318209670791,0.249816424612948,1
"V10",4.59434382749168,2.55538517078101,0.11082537906377,1
"V11",1.44898547919109,1.03488352861436,0.166786635601224,1
"V12",1.12607569052481,0.0426254663871689,0.0445715641304312,1
"V13",0.278506230515417,2.95246081887097,0.0146711639148857,1
"V14",1.12403242470596,-0.815160775122906,0.019079881414391,1
"V15",1.80217569713437,1.9226191394853,0.158126314028259,1
"V16",1.51885077217655,1.60808916715336,0.154043770931559,1
"V17",3.48668584409044,2.3232151680504,0.100071446886042,1
"V18",2.13831696148025,2.18600699372187,0.231622204339293,1
"V19",2.62583892445426,1.48428626525942,0.169041183919298,1
"V20",2.8270662433952,2.2249766667433,0.213567355005919,1
"V21",2.73846417157219,2.29301785107331,0.179741099255998,1
"V22",2.74528481628908,2.9472265684951,0.15962895278742,1
"V23",0.760854014545124,3.2607020006421,0.173344476919237,1
"V24",3.17924169273607,1.61453170088749,0.109563194662932,1
"V25",0.938266153382516,2.10603486957596,0.153120099602388,1
"V26",2.24055809357038,2.79076561591769,0.216041196451441,1
"V27",1.98886875233036,2.34403085162713,0.2066755182116,1
"V28",2.68820633941793,1.89108680644105,0.204922052905077,1
"V29",1.57761888303899,1.72756328737241,0.159804810359881,1
"V30",2.07187353146319,2.7239408585981,0.190034468380544,1
"V31",1.01506393206807,2.98408857525266,0.20758979604839,1
"V32",4.37919157618374,2.30800181732991,0.0931389273720523,1
"V33",3.17184123215756,2.71904481826218,0.213065212338981,1
"V34",1.6753883400307,2.03663822143209,0.182255677277216,1
"V35",2.13851704024995,3.01229576038968,0.164181561527305,1
"V36",-0.00997505912325284,-174.163963206545,0.197190442605228,1
"V37",0.528430123475731,6.13825722473301,0.200982711569659,1
"V38",2.42930090776552,3.11842637603187,0.225493945682814,1
"V39",0.0679898242215213,26.8774098252233,0.166144434735175,1
"V40",0.0781296819470575,37.2558585342992,0.172956248338586,1
"V41",1.9756638573718,2.78393450389852,0.21808785234064,1
"V42",1.86739212041132,2.8755199865607,0.218719387808399,1
"V43",0.880544667525407,5.22234089088464,0.12113796426386,1
"V44",2.77666262351146,2.89373011726799,0.230060512603453,1
"V45",-0.0680151946061982,-23.5711465143843,0.0839584245385683,1
