"","V1","V2","V3"
"V1",0.0620840498987476,0.554716663702853,1
"V2",1,0.486121486289356,0
"V3",0.999999999999951,0.486121486289355,0
"V4",0.073937911563065,0.660623897384065,0.323483448144834
"V5",0.033219007747706,0.644322044957781,0.969890373373217
"V6",0.0629157495409885,0.587038008635846,0.782351977861257
"V7",0.0849813962593533,0.571354874836631,0.6963625715042
"V8",0,0.000486885610314138,0.856085496626744
"V9",0.0570751325420508,0.676139426671829,0.901687735886477
"V10",0.0539641963930793,0.593331959494133,0.843069414872356
"V11",0.0687209632492598,0.606111800299596,0.462394711298961
"V12",0.011031589959565,1,0.0417590519041312
"V13",0.0424685284281327,0.626284633786975,0.392308498763742
"V14",0.0695062720891789,0.689380178267408,0.37771363534018
"V15",0.047759286085355,0.673629178218352,0.395995000535449
"V16",0.0775627969543688,0.74373738929023,0.452429855164406
"V17",0.00640624713101444,0,0.0143074200130118
"V18",0.0168337692534202,0.502099456124472,0.0152176554192951
"V19",0.0414788826099451,0.69708609158827,0.473696815415281
"V20",0.050368211618555,0.743254340075952,0.619477478409778
"V21",0.0509504225000852,0.771546333930501,0.654206166315651
"V22",0.0878363699922761,0.805875968122083,0.325664894894221
"V23",0.0680053144301841,0.746136193999292,0.328800605790046
"V24",0.0498511290400326,0.705910104257041,0.469843741578267
"V25",0.0519749200727142,0.728974998046427,0.374147304739182
"V26",0.0504005579827,0.701885647263316,0.479811630718323
"V27",0.0168337692534172,0.50209945612423,0.0152176554184253
"V28",0.00665337281437572,0.0939344537142555,0.0100796777824781
"V29",0.0100217065576176,0.492951330427094,0.309186524103634
"V30",0.0526638053642042,0.679935768378444,0.988969249325647
"V31",0.0291960702915014,0.738743670906032,0.380768111189733
"V32",0.0118644940017136,0.632597724386694,0.0813777806304325
"V33",0.011864494001696,0.632597724380306,0.0813777806217536
"V34",0.0326634562747602,0.80985273215867,0.389516266700717
"V35",0.0179020952306969,0.52953874949404,0.0282711174850907
"V36",0.0179020952306988,0.529538749494147,0.0282711174855036
"V37",0.0713108540133439,0.785497530963544,0.389577983816259
"V38",0.00674578091552225,0.29977709037099,0.0226032282924686
"V39",0.0582743970325483,0.678899923631513,0.52439608946223
"V40",0.034503540695472,0.822918633365402,0.236365008993232
"V41",0.0453180601724344,0.624777462201153,0.882567577152164
"V42",0.0546313604210694,0.642092875010422,0.434351245163702
"V43",0.0878284830305717,0.657344829608612,0.548196388935745
"V44",0.0736269644804766,0.670317872105002,0.563452646796751
"V45",0.00596444633010689,0.346885717194765,0.0340599652919501
