"","a","b","g","u"
"V1",0.420795714301701,0.913176905498429,0.00583667786689459,1
"V2",1.77156543861326,0.351260193360163,0.277698874092986,1
"V3",2.98495370882401,1.05740335364267,0.251948087980246,1
"V4",2.588301364765,0.807337685460953,0.380896572308755,1
"V5",4.51245257543971,2.45252470678883,0.130304982821944,1
"V6",0.553014708293668,-0.703833539453596,0.00685840912329441,1
"V7",1.40493569844143,1.66102895955442,0.272977457804957,1
"V8",1.9104107733908,2.0962392694373,0.205530781476875,1
"V9",0.938026109359071,1.63041500067527,0.31224084160283,1
"V10",2.10875002856724,2.30661186431903,0.353066520262366,1
"V11",0.855452042975986,1.12999998462151,0.150076520146308,1
"V12",0.871148683987588,-0.671997832080467,0.0108015797305737,1
"V13",2.52258755577795,1.52415370524527,0.42932877888265,1
"V14",1.0223919207628,2.12778158096981,0.253403152597954,1
"V15",2.41346065061643,1.98687267453294,0.226854174661003,1
"V16",1.29788077062147,2.08313834961298,0.244687335981257,1
"V17",1.44878496495674,2.10822276285853,0.221645403975746,1
"V18",1.54783032424714,1.51896443764826,0.262592577622121,1
"V19",1.42628342978771,1.02982234422361,0.198091576412261,1
"V20",0.177770934533128,5.30192923977285,0.0278303966463463,1
"V21",1.72056452683103,0.883680462557947,0.246843944718978,1
"V22",1.95108991451668,3.11487558589458,0.185858675938,1
"V23",1.30122051031956,0.912544686450191,0.249947233776338,1
"V24",1.46843858048887,0.212005196658488,0.279248333971677,1
"V25",0.315339483192584,1.04536032022238,0.0178127942849519,1
"V26",0.693790361063566,-0.94168791023244,0.00462999573531846,1
"V27",0.536875644263936,0.286460333256252,0.0157096790164971,1
"V28",2.23297477956451,2.37701992222675,0.255667205512133,1
"V29",-0.238408613584462,-9.87068064735536,0.0831767948050558,1
"V30",3.09782752955626,1.82290679474109,0.285218256023325,1
"V31",0.502073749843566,0.530668169606939,0.01187270525039,1
"V32",0.619311841938009,1.90400654209051,0.158336865895684,1
"V33",0.0915264931536795,11.5663367574217,0.0432550473130694,1
"V34",1.35468475755412,0.459163855624858,0.21311337504723,1
"V35",0.270874236883647,3.18114853922473,0.0828374474681944,1
"V36",3.60673230546783,2.01253591433631,0.226711443370883,1
"V37",0.848542137156215,-1.55282492738368,0.00874633787118432,1
"V38",-0.730485456821924,-6.08058721077382,0.25535748362642,1
"V39",1.94274586546374,2.01923860036792,0.243972069189311,1
"V40",1.38076360587414,-0.76656212383823,0.0717206899679693,1
"V41",1.70082572287729,0.902832393601578,0.343939555580672,1
"V42",0.893512030400018,0.882324980387377,0.156835753986538,1
"V43",1.10761870529836,1.77879969921951,0.28960201919157,1
"V44",1.45896961435911,-2.13835572210213,0.0191891651537521,1
"V45",1.84798065683234,0.486507151543904,0.26989056704737,1
