"","V1","V2","V3"
"V1",0.112004225722069,0.0456139714666253,0.118025122306115
"V2",0.448742951715013,0.159181343289513,0.599682130495777
"V3",0.113906587069327,0,0.0388275478733941
"V4",0.308237304404264,0.168240808149606,0.323561959742804
"V5",0.371843985308443,0.200857000101294,0.146280460322662
"V6",0.503942960404018,0.156586979925996,0.599071129039928
"V7",0.219503561024422,0.246525866836131,0.424629869606358
"V8",0.631879757118716,0.218670567038773,0.372111504303999
"V9",0.287244218814982,0.206578118825494,0.359931419020124
"V10",0.374254974093388,0.302142600288411,0.489937573641136
"V11",0.454867457019733,0.175220201322753,0.497632966401281
"V12",0.582635142514855,0.183592484908102,0.381407806522506
"V13",0.70251517696744,0.237249347829899,0.373544398699004
"V14",0.613661631232155,0.270890387546244,0.415238097165559
"V15",0.430476867655214,0.187095370746346,0.362618535309834
"V16",0,1,0
"V17",0.777156588139097,0.274631088185054,0.701464501995044
"V18",0.246755998479783,0.219014292765371,0.321557971478881
"V19",0.348923844210588,0.159493032638032,0.626604966893887
"V20",0.419791913681582,0.297092329082153,0.329451596355505
"V21",1,0.250424097781475,0.578262628496447
"V22",0.251451580301746,0.206860862157423,0.714161332229017
"V23",0.0509586118060823,0.402375519572799,0.0158760226321102
"V24",0.623237939110703,0.21740259361395,0.796416120651701
"V25",0.750951531646966,0.240763916270048,0.577164613058208
"V26",0.404212109932355,0.0665598710215176,0.0232559747922523
"V27",0.525652539756312,0.153531851405425,0.626035234358638
"V28",0.250734995933475,0.320779510219253,0.368182562365137
"V29",0.222276191128381,0.278125496481529,0.504574349027475
"V30",0.529439878086451,0.246343738803934,0.292859048760665
"V31",0.544304774941696,0.219856227935698,0.375728771000354
"V32",0.84279695819413,0.21566606970787,0.430988539892867
"V33",0.32437016176953,0.30683719034324,0.353746688462165
"V34",0.530365523423808,0.217198625788095,0.582448037182804
"V35",0.338260468983526,0.250465350849991,0.428614484954357
"V36",0.551406058549067,0.241418477184789,0.30468844589257
"V37",0.0695573980197329,0.35950612916962,0.279526806416917
"V38",0.133909518002939,0.194816357652203,0.356723665323599
"V39",0.682637609670241,0.210069370203309,0.516465776516903
"V40",0.114065792432474,0.261441761156171,0.365539838197762
"V41",0.29778517364364,0.294198979651537,0.542676761757994
"V42",0.486469284391778,0.188754601576962,0.420568123755305
"V43",0.612572044220602,0.20636669250944,0.394835663959444
"V44",0.670236456509462,0.241855170304698,0.831143313075036
"V45",0.235447747859037,0.133172752777217,1
