"","a","b","g","u"
"V1",1.39569024796616,0.763347899033061,0.20307599982809,1
"V2",1.50330676959574,-0.18590275353444,0.14422985886292,1
"V3",2.00399176708496,1.10994712696335,0.22916432158026,1
"V4",0.80010039990846,-0.464301561724967,0.129645253344949,1
"V5",2.14094940815542,1.57105200477168,0.0829687984776422,1
"V6",1.07918541004273,1.14627218261863,0.125816137012264,1
"V7",2.06788038432618,2.01751357131515,0.143951813794309,1
"V8",1.7212085998427,1.02778128634639,0.27486944783372,1
"V9",0.770732366028075,-1.21859333790984,0.0074997286111558,1
"V10",1.52894845594327,2.28715313258511,0.132477558379579,1
"V11",0.429221979101367,-2.37808248950142,0.0182860876565211,1
"V12",1.39371842832599,0.268856212135181,0.10276347558479,1
"V13",2.30401789721226,0.796799869169871,0.160850065840738,1
"V14",1.26781927617355,0.639147482853602,0.147190834294695,1
"V15",1.79137583447932,1.17212325567261,0.166344684332585,1
"V16",0.813139471184584,2.70078999126304,0.135341074913503,1
"V17",2.08157707739851,1.27043594591104,0.427914606761655,1
"V18",0.533937036693802,0.53096006331756,0.043384977142313,1
"V19",1.42034950268508,0.33750112469374,0.213128467174907,1
"V20",1.75508970147846,3.07669734668351,0.140840110720362,1
"V21",0.626011637179091,-1.46242188675573,0.00728771453783177,1
"V22",1.29446293520161,1.18522531260785,0.18522909870743,1
"V23",1.01432417668631,2.95921261239807,0.178585080544555,1
"V24",1.92938072444884,1.5095232597716,0.077570134706691,1
"V25",0.742858155934728,0.0749130739994891,0.010880870870408,1
"V26",0.346123804100148,-0.747791450279747,0.0973693448205935,1
"V27",1.5266654457979,0.419406852883141,0.161118234802222,1
"V28",2.07269309923967,1.43599670908773,0.198123985334627,1
"V29",1.0345476411264,-0.15554880818114,0.0103040377687427,1
"V30",0.793093184346588,1.82620670586944,0.072734062564506,1
"V31",1.00961732060259,1.80999607745603,0.249646173323431,1
"V32",0.454460812780587,1.13665843501663,0.0129008247311702,1
"V33",0.344107915280452,0.43282370090173,0.0138742260820653,1
"V34",1.5960400097593,1.4743728076608,0.227416631163798,1
"V35",1.50361225999408,1.72584830901295,0.0709740926953016,1
"V36",1.71598280702888,1.84841227063927,0.329529052625859,1
"V37",1.04134223232826,1.94921152203862,0.358989451284534,1
"V38",2.11272651259773,1.26118352324935,0.274980676334073,1
"V39",1.15529107994826,0.723170578784332,0.0344680333219238,1
"V40",0.158717951787318,10.1514352343772,0.161413272932094,1
"V41",1.03746125269502,1.58534931450941,0.184752461862504,1
"V42",0.873100589001101,-1.42114872268146,0.0142330728957325,1
"V43",1.43297732478532,1.21459177279728,0.257320592020517,1
"V44",0.566518757314317,-1.45419638944467,0.0500338544222384,1
"V45",0.352206739573637,0.853262042471805,0.0550309545153396,1
