"","a","b","g","u"
"V1",2.07649370565154,-0.886394009316631,0.423045390812362,1
"V2",0.0956258110995415,2.27693640528315,0.0839186523984789,1
"V3",0.930402215377987,0.152842215636889,0.197779688416541,1
"V4",1.5844854542192,1.4865207746483,0.170061317269574,1
"V5",1.97880519141399,2.22198235581769,0.276589461573881,1
"V6",2.19511773126119,1.92495872540684,0.243492124958459,1
"V7",0.885525663219058,2.53110754920397,0.208820703120695,1
"V8",0.967270718374169,0.51115306834456,0.500340730490212,1
"V9",0.792787740300299,0.683117897416549,0.246937581206301,1
"V10",1.0019723963978,-2.93973576396444,0.0155882525546463,1
"V11",1.60354007612938,1.52758946366963,0.529332339887918,1
"V12",1.19737974327326,0.0568248904307486,0.244747135567686,1
"V13",1.11953944566354,-1.25609510389485,0.0145951021008674,1
"V14",0.494240487225598,-1.34649298317933,0.0203996836949827,1
"V15",1.49019209817021,0.00349537231573276,0.242451702434218,1
"V16",0.809808647027006,0.454629651569656,0.0827076925447311,1
"V17",1.94298444393189,0.257570706380289,0.381125184502669,1
"V18",0.886448844533795,-1.17622737322567,0.0115041158507579,1
"V19",0.636786519004137,0.436643070884176,0.00983931471454899,1
"V20",1.1688259416639,-0.13465905477019,0.174531758743804,1
"V21",1.39415419838166,0.709495293362921,0.263863035774963,1
"V22",1.24191952739896,0.0903923421351627,0.281765358359612,1
"V23",1.44700687189662,0.709147991173698,0.187308369961487,1
"V24",0.0981053028610494,4.47092802555044,0.0472152166092346,1
"V25",1.69982110741039,2.59330545641941,0.362777307393998,1
"V26",1.12651279845433,2.10727083930886,0.183248796560147,1
"V27",1.24181000358214,0.170305158433673,0.0912323728087362,1
"V28",0.905608418389159,-1.41862497848833,0.0145692625021693,1
"V29",0.434803523226155,0.383157413407768,0.0130232193966599,1
"V30",2.3130693678992,1.86738446246951,0.188272302640103,1
"V31",1.50828097984273,0.0689909357416819,0.105210297401251,1
"V32",1.87103024152529,-0.0966251714140387,0.222967089507569,1
"V33",0.939261813065057,-1.63074751858684,0.0306418683581421,1
"V34",1.17605846589945,0.676170534607102,0.119949680329505,1
"V35",1.45692456138387,0.824895047452427,0.391129344006253,1
"V36",2.1081842146575,0.0678447683663668,0.299325957646524,1
"V37",0.967241035697899,-0.754588886604483,0.0104308121110667,1
"V38",0.786116321336167,-1.60209616295976,0.00580459609463502,1
"V39",1.66347051040464,0.93336526536917,0.207815399020547,1
"V40",1.54366669440172,0.951629840509546,0.293338513003856,1
"V41",2.45581939187538,1.4233674821819,0.193387213515706,1
"V42",1.43937374788451,0.0391069430740372,0.13500721263738,1
"V43",0.942927019380342,0.259540841513985,0.159086821200082,1
"V44",0.4069393559402,-1.56153792575856,0.0415294790812816,1
"V45",0.881980202149996,0.101347911503139,0.296095749268973,1
