"","a","b","c","classificacoes",,
"1",0.441727052635839,0.231842670279437,0.193056489454027,3,46,2015
"2",0.450645451093173,0.232793657487196,0.207696662985727,1,47,
"3",0.452391337634283,0.233680359343553,0.334769298663172,1,48,
"4",0.439442445938812,0.233357415423915,0.0147184804758397,3,49,
"5",0.459848519847268,0.234900910049031,0.234492992151642,1,50,
"6",0.456209160173884,0.233322595630329,0.21712079556702,1,51,
"7",0.446553454921054,0.235015999130427,0.216291650367422,1,52,
"8",0.447059125100283,0.237478288568032,0.164269279204026,3,53,
"9",0.462582797227753,0.234524075421768,0.112475015427375,3,54,
"10",0.441061938659856,0.24164066996044,0.209096715555158,1,55,
"11",0.450759488654621,0.235076908427952,0.152812290305848,3,56,
"12",0.454766969300961,0.234928912851265,0.213711311578121,1,57,
"13",0.446207483087104,0.233003743561426,0.162195798188345,3,58,
"14",0.467826426737503,0.233900508213068,0.23646396459957,1,59,
"15",0.42667168783956,0.223287646210852,0.170265001365823,3,60,
"16",0.465096498414493,0.234438212754931,0.177999914671332,3,61,
"17",0.459888094484974,0.234398503041424,0.137915804143019,3,62,
"18",0.444936690413786,0.232117103756546,0.085442002090368,3,63,
"19",0.449090891241356,0.237197109900421,0.308822224056179,1,64,
"20",0.449096219670366,0.234391339753939,0.145570929359595,3,65,
"21",0.434430505322769,0.201720637027785,0.182284997437082,3,66,
"22",0.442370257279236,0.231389095232901,0.00770332351625911,3,67,
"23",0.446064507004519,0.232010965821946,0.18855380172227,3,68,
"24",0.465372260373734,0.234966721457124,0.162458772767724,3,69,
"25",0.436056561888834,0.206059493654455,0.177622031048158,3,70,
"26",0.454031899386802,0.236035041591549,0.302052845675267,1,71,
"27",0.445522724465253,0.232648459427247,0.211671636068935,1,72,
"28",0.456745833963934,0.234648021811271,0.241529494267764,1,73,
"29",0.463058420002699,0.234710121336941,0.322402727706131,1,74,
"30",0.44139420805808,0.233836329495597,0.0277531773501935,3,75,
"31",0.460210727305211,0.235970894625453,0.254036102359719,1,76,
"32",0.461733718338315,0.236078946342344,0.238022222926404,1,77,
"33",0.440102181307094,0.228866797826761,0.0138214982470242,3,78,
"34",0.46575797075149,0.234234142897416,0.15920927890585,3,79,
"35",0.455305337108532,0.235095888461604,0.21028731534571,1,80,
"36",0.46342857046804,0.234999308594386,0.126411577206783,3,81,
"37",0.44198242301175,0.232784056775301,0.0213513756508268,3,82,
"38",0.458176800169484,0.234675647250481,0.230727282569966,1,83,
"39",0.458880705678138,0.234750331643914,0.244349265919914,1,84,
"40",0.445791623807607,0.233718905011598,0.235079338248086,1,85,
"41",0.440384284907249,0.228817390332046,0.0230539025963992,3,86,
"42",0.45927962883582,0.234384044793514,0.100648861053109,3,87,
"43",0.445120278334485,0.235844512760065,0.165813378054296,3,88,
"44",0.451579021830697,0.233955367725366,0.181468708997223,3,89,
"45",0.441545887889107,0.239564969318514,0.133497386837625,3,90,2015
"46",0.466664604626388,0.235552638180997,0.176323009366444,3,46,2014
"47",0.44783605576543,0.233989120134606,0.125673711271583,3,47,
"48",0.462870516892309,0.235613457585881,0.232158315152826,1,48,
"49",0.445206246485122,0.232062324471243,0.13400776587001,3,49,
"50",0.442514899058463,0.234991092487396,0.147606512422282,3,50,
"51",0.436223579019334,0.194356620465284,0.152937571771919,3,51,
"52",0.445958062372242,0.233316680120273,0.327834382483096,1,52,
"53",0.435962654825374,0.221163040623659,0.0796261159971696,3,53,
"54",0.444080664291439,0.234924322842619,0.187082034662732,3,54,
"55",0.454665905266685,0.233530370125333,0.248338093850319,1,55,
"56",0.446616045458482,0.233702733521124,0.158619200090549,3,56,
"57",0.446821275200735,0.235173696371141,0.250216717139325,1,57,
"58",0.46297269172753,0.23543309464964,0.247547984785488,1,58,
"59",0.456053129950396,0.236517799772589,0.210698763792613,1,59,
"60",0.456278820331681,0.232723063666619,0.222660652279572,1,60,
"61",0.445354501088106,0.237581040112264,0.349313094171661,1,61,
"62",0.438550268862492,0.247294177146381,0.0241833336676185,3,62,
"63",0.44995880316473,0.234247854690441,0.17068990357147,3,63,
"64",0.452567334811845,0.235550516715658,0.227437472402433,1,64,
"65",0.433373754173761,0.217781203226011,0.137700736985617,3,65,
"66",0.455513351796838,0.235779896645961,0.191199449756523,3,66,
"67",0.467010636159473,0.235176279807182,0.15578008663713,3,67,
"68",0.45835491750332,0.234637700902458,0.158347948919796,3,68,
"69",0.450974179805132,0.232108758953494,0.362105325244657,1,69,
"70",0.428516244199054,0.221200998492838,0.166905676480547,3,70,
"71",0.44135875760938,0.233584302963651,0.0062735800558205,3,71,
"72",0.445114884846468,0.234932512809161,0.212688103299032,1,72,
"73",0.46413732792239,0.234797388287356,0.217771300287216,1,73,
"74",0.44290966551865,0.234838420964763,0.132315962369108,3,74,
"75",0.4472178924228,0.233258667832097,0.330371415992092,1,75,
"76",0.441244650198789,0.230930958448788,0.0480986860831602,3,76,
"77",0.455940899876047,0.235787707909839,0.279492165556805,1,77,
"78",0.441403110671185,0.232981861047297,0.0236138567154559,3,78,
"79",0.4553058077134,0.23421194985481,0.184992565062647,3,79,
"80",0.443405201032269,0.232370474520573,0.0769471179410014,3,80,
"81",0.450768805351493,0.233636179124057,0.272745144690639,1,81,
"82",0.457996602406884,0.235899530314601,0.145034174394609,3,82,
"83",0.461170140460974,0.233941035058005,0.231678105296207,1,83,
