"","a","b","g","u"
"V1",1.32343798727827,-2.03138982106168,0.0178121944690585,1
"V2",2.08982130063595,0.576919790681351,0.0974137653616727,1
"V3",0.860520337474321,1.8769892358505,0.29518010444588,1
"V4",1.12742865886191,0.0528873111483391,0.311901737149117,1
"V5",1.16299241504155,0.155040436264124,0.214231288832685,1
"V6",1.12067011493404,0.296159700776884,0.250647392339306,1
"V7",0.33329008927631,0.529688987990504,0.00815728596968622,1
"V8",0.936688580282341,-0.162383985466023,0.0289797192594091,1
"V9",1.66931282342442,2.15960994006515,0.121854716973477,1
"V10",1.77475327748707,1.3174790971108,0.139832789332491,1
"V11",1.52832849184615,0.332394854631173,0.135396020456532,1
"V12",1.33971739595354,2.07447262576808,0.117337517975393,1
"V13",1.3002115300462,-1.09023244221159,0.0067901018717676,1
"V14",0.808798910906722,-1.0612120674482,0.00793410359253176,1
"V15",2.19233766291581,2.3268160971255,0.163086828077279,1
"V16",1.08379354677798,0.363451918364744,0.0855079117948308,1
"V17",3.39195063044414,2.4708350318827,0.0523773424887676,1
"V18",0.515479156860189,2.88732670965157,0.246896961152831,1
"V19",1.76043137474104,1.01933387951137,0.147962377743106,1
"V20",0.812044528470466,-0.92210380993138,0.00419521507167517,1
"V21",3.27829872882428,1.3796636170937,0.220199080145798,1
"V22",1.46826288179466,-0.242508250686277,0.0644245123306933,1
"V23",0.182570980806449,6.27492574510115,0.142613463270717,1
"V24",2.35323172238338,1.82084572325717,0.132655337175682,1
"V25",2.34302326738894,1.91118630532608,0.169903074115047,1
"V26",2.16935362535312,1.89624724755702,0.158591545757279,1
"V27",-0.480462944613622,-7.48866856950185,0.115196243210799,1
"V28",0.796692403572184,2.3052948538064,0.181244761793395,1
"V29",2.67702665832327,1.82104473963761,0.271055742695492,1
"V30",3.22993682776067,2.6868677364959,0.143962403405798,1
"V31",-0.198995938871296,-9.0192367752153,0.0111193392662862,1
"V32",0.724703480857744,1.98199977789671,0.186139419496664,1
"V33",2.8931987315086,1.60525295337707,0.135573477841203,1
"V34",0.379614701516396,3.14877343832601,0.0221271344632951,1
"V35",3.53422072266125,2.83802412230942,0.120358721671754,1
"V36",1.45794433739261,2.67175527184964,0.154200832220044,1
"V37",1.312252427454,1.34477057852088,0.127721369277228,1
"V38",0.810811200320421,3.63582149987957,0.152887139357566,1
"V39",1.84170763024004,2.58258291482878,0.201270325518233,1
"V40",1.1426496192449,1.20353136400622,0.217544872608709,1
"V41",1.13055717873049,2.99236507777888,0.192049363411924,1
"V42",0.897639693216646,1.91186283891312,0.124292220156473,1
"V43",1.01662143551647,2.54988526660513,0.167651214175975,1
"V44",-0.0545501221066247,-30.2388313686964,0.116982849452639,1
"V45",0.0291778134769187,64.4539894150593,0.121026580436154,1
