"","a","b","c","classificacoes",,
"1",0,0.0892984340849685,0,2,91,2015
"2",0.27162756140794,0.626863737407776,0.227738342104194,2,92,
"3",0.036232437679392,0.467090780190397,0.188392869423602,2,93,
"4",0.104218436523355,0.462432099218749,0.192352658000032,2,94,
"5",0.0284773498898094,0.240073462915606,0.0139615982846576,2,95,2015
"6",0.0939565141838194,0.44951218026199,0.106696598816414,2,91,2014
"7",0.0693743114630971,0.383618793063214,0.144135160341336,2,92,
"8",0.169308842531199,0.388360146290311,0.121650295328233,2,93,
"9",0.392274566550617,0.262211042578105,0.691602592986903,1,94,
"10",0.251166853001521,0.333295781779142,0.379209850460274,1,95,2014
"11",0.0939565141838194,0.44951218026199,0.106696598816414,2,91,2013
"12",0.0693743114630971,0.383618793063214,0.144135160341336,2,92,
"13",0.169308842531199,0.388360146290311,0.121650295328233,2,93,
"14",0.392274566550617,0.262211042578105,0.691602592986903,1,94,
"15",0.251166853001521,0.333295781779142,0.379209850460274,1,95,2013
"16",0.120218527095856,0.363972696485292,0.894176727857311,1,91,2012
"17",0.0176992286138909,0.134707045403516,0.108966402429397,2,92,
"18",0.0778895996315613,0.19630761413938,0.0949305398744861,2,93,
"19",0.068149829668861,0.358647983375186,0.247300993757376,2,94,
"20",0.105478561395682,1,0.413870985278138,2,95,2012
"21",0.715599472029503,0.220028170530755,0.436139679977873,3,91,2011
"22",0.300712498335409,0.171321018168133,0.500029647715384,1,92,
"23",0.135059482613093,0,0.638186285694736,1,93,
"24",0.05424566225205,0.279031885462566,0.580693652403191,1,94,
"25",0.150670317013249,0.0242863272372111,0.00553374066305758,2,95,2011
"26",0.870114920981442,0.515888030742521,0.70056648319787,3,91,2010
"27",0.0626511096144981,0.329791442609197,1,1,92,
"28",0.354478097783317,0.765532750934134,0.850310392494743,1,93,
"29",0.246319115930134,0.174095787709567,0.412909584074542,1,94,
"30",1,0.565897859857857,0.734288693765595,3,95,2010
