"","a","b","g","u"
"V1",0.669458419810082,-0.333526975751799,0.00660573130046357,1
"V2",1.04584704237842,0.413262417151951,0.360759756547073,1
"V3",1.62705662520936,-0.243651113013361,0.217933288861673,1
"V4",0.824766579676773,1.73204349766297,0.235650141893025,1
"V5",1.39033789425775,0.975691466831356,0.2906022201413,1
"V6",1.42107165638888,-1.21939100957774,0.161241513178918,1
"V7",0.923591378106357,0.202357521450128,0.193259788728588,1
"V8",2.13315685309604,-1.03796868645449,0.288712157417345,1
"V9",1.23092856219634,-0.205693657097865,0.263107701470921,1
"V10",0.682006444658856,-0.983136558377727,0.018525489645147,1
"V11",0.998525312615973,-0.707441890341399,0.0824244934321382,1
"V12",0.338681691432168,-0.87505508613297,0.016615059846479,1
"V13",0.502589352272756,1.53860743000973,0.245245640554668,1
"V14",0.875204272852519,-1.93288151486161,0.0149718684013292,1
"V15",1.04122975782644,1.41932605791992,0.229921210708568,1
"V16",0.680751813652092,-0.759095439644673,0.00542542495006521,1
"V17",1.07222394220178,-0.121769892573546,0.295165703588964,1
"V18",0.315452494237528,0.634018284883227,0.0138533730519941,1
"V19",0.792571344084375,1.93073345188728,0.16864024800854,1
"V20",0.689690761624458,-1.21007581765719,0.0105674985560952,1
"V21",0.436907400100982,0.934214593167618,0.00767427809667983,1
"V22",1.29183074043133,0.220076082474979,0.223174165941474,1
"V23",3.09359927783368,2.13859662765747,0.216505112441276,1
"V24",0.842881541605724,-0.41440617213519,0.00377062329408431,1
"V25",1.51199012641922,-0.424939902028196,0.225426966717109,1
"V26",1.85302623432363,0.664643294220798,0.254793616531102,1
"V27",2.68088601179137,2.83002211440386,0.243473754877866,1
"V28",1.40644009323754,0.236356317333977,0.252540077215506,1
"V29",0.446905796020671,0.589396461861826,0.150501343080139,1
"V30",1.01141368048592,-0.582196930996833,0.23684820145154,1
"V31",1.13622254843528,0.991739025964551,0.226231046710316,1
"V32",1.24085748933697,-0.678617355754551,0.206247142212433,1
"V33",0.990002873525077,0.258392567292285,0.306328333347676,1
"V34",1.46614322002051,2.1656784664988,0.308354423585924,1
"V35",1.64354382356849,-0.535796054007109,0.270339872358875,1
"V36",1.9369835326049,0.76812988030952,0.29974352319209,1
"V37",1.69458736804689,0.0119345143105096,0.258196616216421,1
"V38",1.15866532799504,-1.26820580949431,0.0146573295688293,1
"V39",0.532584184086475,-0.372404078300214,0.0047520604885073,1
"V40",0.902050731623993,-0.942729465273632,0.0334276768535906,1
