"","a","b","g","u"
"V1",1.29436752262209,0.0240396460620869,0.240645016016174,1
"V2",1.29255548629186,0.426457985883749,0.149204030781168,1
"V3",0.772330818881372,-0.412692265042213,0.00206435651723709,1
"V4",0.69462054000408,-0.859993934063676,0.0101344894224429,1
"V5",1.41528727076848,-0.347269546721463,0.038224697046285,1
"V6",1.16423259775852,-1.76903449358399,0.0157260197260351,1
"V7",1.11579248514836,-1.20853552375289,0.00528137050010562,1
"V8",1.13378827730146,0.387377309612925,0.0818257316821818,1
"V9",0.787022054429738,0.785463915086653,0.173926631923123,1
"V10",1.15927003935796,-0.477237158368504,0.00807025192850966,1
"V11",1.66127147755822,0.591015950653156,0.146751032433948,1
"V12",1.79228860768094,0.745786181055099,0.116401407427953,1
"V13",1.37387247331442,-0.075593939946667,0.150117596397128,1
"V14",1.26185608814353,0.569800793201502,0.170244781334361,1
"V15",0.590116140519691,-0.10544057985028,0.00661916891346019,1
"V16",2.07605795875809,1.3943686153591,0.127926305765864,1
"V17",2.04284840124255,1.33082963236833,0.215838426589765,1
"V18",1.42613576732511,1.1864493528862,0.107471895871878,1
"V19",1.633840625231,1.06234499631546,0.19921728853687,1
"V20",1.6331477760923,0.825778601593022,0.191391561338359,1
"V21",0.877595826195579,2.6201415726923,0.0922572247923822,1
"V22",1.20843703041865,0.923596927929893,0.0923043589948105,1
"V23",1.42809631776272,1.84509222768946,0.177736343760605,1
"V24",0.570271472510391,2.38144538242934,0.133081999565428,1
"V25",1.46496420530075,1.43704240927312,0.241770200759826,1
"V26",2.65287448065661,2.57419726120319,0.299252707651563,1
"V27",1.79738848370677,1.06019545857829,0.21214198503934,1
"V28",1.20602901549501,1.52957887048147,0.118507444178604,1
"V29",1.1341093948736,1.5150254581177,0.128990097173714,1
"V30",0.312785490374785,1.59256822230593,0.0507835377747982,1
"V31",0.592432755102439,1.85325460802005,0.142800398053477,1
"V32",2.58450374893403,2.01681415195243,0.126824886163222,1
"V33",0.754934717817063,2.09514324772033,0.134053973598706,1
"V34",0.444867111126497,1.69824733779609,0.0241721727360873,1
"V35",0.91420054247602,2.11050827251077,0.127119363448635,1
"V36",1.22271047279672,2.67047935512179,0.179480939450509,1
"V37",0.537118655802657,2.69319579670736,0.241641058252012,1
"V38",0.923995222893402,2.65719709690837,0.239171999773438,1
"V39",1.49008290225205,0.366046137917987,0.298099309945817,1
"V40",2.03519151456157,2.29812279684935,0.137067962688544,1
