"","a","b","g","u"
"V1",1.2532538281971,0.307226063972112,0.293293952823551,1
"V2",0.937915160647018,0.0161242308820156,0.0237846908159761,1
"V3",0.992106065559546,-0.549661948878552,0.0335285523939555,1
"V4",0.806607926133324,-0.782890463115482,0.00622516820533599,1
"V5",1.35435706111653,2.32598133636383,0.126868558525713,1
"V6",1.89072030991169,0.987200868166743,0.268935479929703,1
"V7",1.03274995848118,1.03382857365321,0.115491906033511,1
"V8",1.91790871903827,1.01472278808495,0.15590234337608,1
"V9",1.50292262208223,-0.521917400652326,0.150544771477756,1
"V10",1.17324976891356,-0.597307306165625,0.00593606153336276,1
"V11",1.81875329362663,1.81486215436333,0.141132714326591,1
"V12",1.47003388815065,-0.894634656564939,0.03553198481713,1
"V13",1.90408873132115,2.28845958031205,0.171074375652239,1
"V14",1.9653164457273,1.92563373065231,0.230209132608107,1
"V15",-0.840907845764408,-6.38029121399611,0.173340987101147,1
"V16",1.06148557993294,-0.722608161870511,0.00445364542489147,1
"V17",0.315383256644841,4.66812290087495,0.0131025750337602,1
"V18",1.59551243111495,1.22825669626094,0.134217069293001,1
"V19",1.237537547158,-0.432662363114695,0.0435373692513571,1
"V20",1.54364961170142,0.351688115515136,0.148928916328632,1
"V21",1.34715168740943,0.739213113713809,0.147652366839612,1
"V22",2.08846143749973,0.638866513547295,0.181073702045546,1
"V23",1.65798244761573,0.753503100121412,0.146134465229436,1
"V24",2.21197277730803,2.9641151933542,0.139857490636645,1
"V25",0.803978900163908,-0.304026529161305,0.0158559745208725,1
"V26",0.991484933577448,2.53392432515034,0.179968563963321,1
"V27",2.17174420872628,2.52372482338372,0.13436522535523,1
"V28",0.796868060092328,-1.22930749421443,0.00571483202325668,1
"V29",0.074792078568643,11.8448422704671,0.111062694860295,1
"V30",1.81497515157794,0.907551295628177,0.153083341958021,1
"V31",-0.491719220709166,-4.49750628268915,0.0434327204294216,1
"V32",1.71014169573648,0.849429953319402,0.182358076695231,1
"V33",1.72616220298725,2.89493007419163,0.193435632036689,1
"V34",1.13357840568047,-0.769294845838336,0.0251138863012219,1
"V35",1.05736160635855,0.9407335052155,0.157013573114234,1
"V36",1.44194751624958,0.793350310224727,0.135066779150745,1
"V37",0.282447531319156,15.7694689988069,0.187313050449971,1
"V38",1.82631356794444,1.98951453612748,0.131005495206419,1
"V39",1.67352770090049,1.84299696383074,0.210775318470082,1
"V40",0.977772928491779,-0.733882704973217,0.026048602149841,1
