"","a","b","g","u"
"V1",1.25382428085164,-0.476553328245434,0.201947339003761,1
"V2",0.823574422628715,-0.457566118495991,0.0227191951669383,1
"V3",1.30469075256666,3.3114601439598,0.145938963720806,1
"V4",0.553452171567012,3.16786103202663,0.190360974272762,1
"V5",1.13446844472749,0.416462741038796,0.135470781992484,1
"V6",1.91234552126854,1.86148417471076,0.173951738517456,1
"V7",0.614296515687464,-1.65868249436598,0.0146029807385007,1
"V8",1.71161252644407,-0.165411930495815,0.223939648177965,1
"V9",1.70848009511383,0.961665786872502,0.18029186221758,1
"V10",1.52663192261592,0.270757496271334,0.297482154489805,1
"V11",1.04245170285351,-0.929942197404501,0.0278942951589376,1
"V12",1.04746355057753,1.14527519136076,0.260700801218605,1
"V13",0.397366647355993,-0.46213372124601,0.134735522681257,1
"V14",1.31909988201398,-0.381513189549874,0.0899200395118177,1
"V15",1.17622982143528,1.9358898864886,0.103443983148186,1
"V16",1.31399382878442,0.57017130162523,0.185730012458861,1
"V17",0.222783604946526,-1.08945752708144,0.0375504083684845,1
"V18",0.890900737936968,-0.281889504396686,0.00342650422006413,1
"V19",2.03508017878725,0.107299837179108,0.372253856031119,1
"V20",0.911214953292363,0.719137376246214,0.13097727383579,1
"V21",0.828321723713987,-1.18793549209828,0.0165292472951196,1
"V22",2.30107183707544,2.12093313902646,0.102277100603818,1
"V23",0.92799787377063,-0.842446923838274,0.0158839743559305,1
"V24",0.74004503763032,0.545085554298557,0.0194696297785042,1
"V25",1.40839574184779,2.47371024224492,0.125722660806966,1
"V26",2.09206349762861,1.33722888862252,0.143505246089789,1
"V27",1.40680417729048,1.83066537874848,0.188071993488359,1
"V28",0.296164215108302,-0.507037760318447,0.0959750741691768,1
"V29",2.77661972143102,2.3592914644061,0.126448231305371,1
"V30",1.52244849790159,0.258728143484138,0.152775970653839,1
"V31",0.240557761400067,2.33203374071835,0.081226909194235,1
"V32",1.19794595458034,1.35319624937306,0.0908457452132868,1
"V33",0.962292722796939,1.24329859922041,0.167840496932005,1
"V34",0.601390542905326,2.60249216404933,0.265290987158037,1
"V35",1.66893400236126,2.48620783068962,0.141637772932146,1
"V36",0.957350973428867,1.58792241365569,0.132552466780031,1
"V37",2.13116245468738,1.25243747936789,0.155686609268277,1
"V38",1.60001381931667,2.77219151505673,0.243538167784008,1
"V39",1.48118217295292,1.57257398972916,0.145504969056519,1
"V40",2.3289829602805,1.86715769896451,0.0977814104119403,1
"V41",2.25393695698685,1.72312743228819,0.0873145399354118,1
"V42",1.44817043658159,1.74342003686082,0.214751923836311,1
"V43",2.64390200862371,1.76308215066808,0.158995279142445,1
"V44",1.88563044859962,2.11420183481521,0.108367047264187,1
"V45",0.661415936859713,0.75916644487146,0.0249477010373515,1
