"","a","b","g","u"
"V1",2.19580167275867,1.03914071611042,7.3630261131538e-06,1
"V2",1.05270521040487,1.85481655949752,1.00063727707431e-05,1
"V3",2.3397272736584,0.581958248095804,7.00373794736871e-06,1
"V4",1.09154053903173,2.4083802812991,1.00552586240685e-05,1
"V5",1.24524696440394,1.81721600236912,9.39859418911018e-06,1
"V6",1.21730950001606,1.71126230141028,9.64036061271419e-06,1
"V7",1.14230156122522,1.92336080405214,1.02088205733773e-05,1
"V8",1.25565277357601,1.53095817865812,8.63747836412357e-06,1
"V9",1.66053385777733,0.820237185865022,7.00874879073435e-06,1
"V10",1.36121095106406,1.88667038052217,9.29470505162837e-06,1
"V11",0.924607476740741,2.35846468052684,9.70023270366519e-06,1
"V12",1.01196057382325,1.30942025872161,9.16308547995105e-06,1
"V13",0.82432806978147,2.75803779754187,1.16085496030776e-05,1
"V14",1.692233821657,0.463465968158398,7.45030217245303e-06,1
"V15",1.51999924377889,1.62107397645763,9.64582758094768e-06,1
"V16",1.17187370854401,1.91855046812506,8.9655561473392e-06,1
"V17",1.60006134385753,1.31978533580019,8.67261627404832e-06,1
"V18",1.13477435865581,1.62154362787322,9.31910084385163e-06,1
"V19",2.22576936869915,0.292361008807773,6.68855889467889e-06,1
"V20",1.62548456088065,1.32060913754653,8.80729556205805e-06,1
"V21",1.94755115429876,1.86915646317448,1.881831769061e-05,1
"V22",1.14702563956069,1.55789123467464,9.4041437692621e-06,1
"V23",0.937093411749061,1.82681194185727,1.07856356094063e-05,1
"V24",0.724803302192411,2.67440206585942,1.27660642997195e-05,1
"V25",1.65246234823015,1.68315786773826,7.91980018501101e-06,1
"V26",1.00427912297246,2.74439067903436,1.123703869062e-05,1
"V27",1.07747913881994,1.97096624590621,1.02374789753563e-05,1
"V28",0.962768030393862,2.11101234196889,9.42651867948046e-06,1
"V29",0.798733112728439,2.54503008177098,1.18022083444128e-05,1
"V30",1.22121870332575,1.30110508676655,8.85918158623799e-06,1
"V31",2.43710487729181,1.03669410139458,8.58485797173251e-06,1
"V32",0.928063472922242,3.055918796635,1.21016568738092e-05,1
"V33",1.96390202095395,1.13330414566694,7.52542105044514e-06,1
"V34",1.02176917798261,1.90457655062338,9.72124215984021e-06,1
"V35",1.33660248981062,1.0951744116412,8.3289022872187e-06,1
"V36",2.51770417196946,0.636916301428321,7.10660701119706e-06,1
"V37",2.19010972300895,0.469329008987931,6.82761871501415e-06,1
"V38",1.38191953937519,1.48154959343323,8.09488953184413e-06,1
"V39",1.97256615529389,0.81727062507953,7.36999954415969e-06,1
"V40",1.01154118299749,2.06997535389852,1.07444407976312e-05,1
"V41",2.58931190130301,0.803141901179352,6.58428882609722e-06,1
"V42",1.29485514577262,1.71743424423692,8.6979069806871e-06,1
"V43",1.39842244330321,1.50046096526349,9.23407369350771e-06,1
"V44",1.45417126833972,1.36520069392636,7.9872358130821e-06,1
"V45",1.37136607508983,1.58102680388615,8.97094120035104e-06,1
